5.42,15938,1528,43856,27184
5.43,15954,1512,43920,27120
5.44,15954,1512,43928,27112
5.45,15960,1506,43936,27104
5.46,15964,1502,43944,27096
5.47,15964,1502,43952,27088
5.48,15976,1490,43984,27056
5.49,15986,1480,44008,27032
5.5,15988,1478,44008,27032
5.51,15994,1472,44024,27016
5.52,16008,1458,44048,26992
5.53,16020,1446,44072,26968
5.54,16024,1442,44104,26936
5.55,16034,1432,44128,26912
5.56,16056,1410,44200,26840
5.57,16056,1410,44200,26840
5.58,16060,1406,44208,26832
5.59,16070,1396,44248,26792
5.6,16072,1394,44264,26776
5.61,16092,1374,44296,26744
5.62,16094,1372,44304,26736
5.63,16094,1372,44312,26728
5.64,16096,1370,44328,26712
5.65,16116,1350,44376,26664
5.66,16118,1348,44384,26656
5.67,16122,1344,44392,26648
5.68,16124,1342,44400,26640
5.69,16130,1336,44416,26624
5.7,16132,1334,44440,26600
5.71,16142,1324,44480,26560
5.72,16154,1312,44504,26536
5.73,16164,1302,44528,26512
5.74,16170,1296,44544,26496
5.75,16170,1296,44544,26496
5.76,16184,1282,44568,26472
5.77,16186,1280,44592,26448
5.78,16192,1274,44608,26432
5.79,16194,1272,44624,26416
5.8,16194,1272,44640,26400
5.81,16202,1264,44648,26392
5.82,16220,1246,44704,26336
5.83,16224,1242,44720,26320
5.84,16244,1222,44784,26256
5.85,16244,1222,44816,26224
5.86,16258,1208,44848,26192
5.87,16278,1188,44904,26136
5.88,16278,1188,44904,26136
5.89,16278,1188,44928,26112
5.9,16278,1188,44960,26080
5.91,16290,1176,44984,26056
5.92,16290,1176,44984,26056
5.93,16292,1174,44984,26056
5.94,16308,1158,45056,25984
5.95,16314,1152,45056,25984
5.96,16320,1146,45056,25984
5.97,16328,1138,45080,25960
5.98,16328,1138,45088,25952
5.99,16340,1126,45128,25912
6,16342,1124,45160,25880
6.01,16342,1124,45160,25880
6.02,16344,1122,45176,25864
6.03,16344,1122,45200,25840
6.04,16360,1106,45248,25792
6.05,16362,1104,45272,25768
6.06,16372,1094,45312,25728
6.07,16386,1080,45344,25696
6.08,16388,1078,45352,25688
6.09,16388,1078,45376,25664
6.1,16388,1078,45384,25656
6.11,16396,1070,45408,25632
6.12,16408,1058,45456,25584
6.13,16410,1056,45472,25568
6.14,16426,1040,45520,25520
6.15,16442,1024,45584,25456
6.16,16458,1008,45632,25408
6.17,16468,998,45656,25384
6.18,16476,990,45656,25384
6.19,16484,982,45680,25360
6.2,16494,972,45728,25312
6.21,16504,962,45760,25280
6.22,16516,950,45800,25240
6.23,16534,932,45880,25160
6.24,16536,930,45888,25152
6.25,16536,930,45920,25120
6.26,16548,918,45960,25080
6.27,16560,906,45992,25048
6.28,16566,900,45992,25048
6.29,16568,898,46008,25032
6.3,16568,898,46008,25032
6.31,16570,896,46016,25024
6.32,16572,894,46024,25016
6.33,16582,884,46056,24984
6.34,16590,876,46096,24944
6.35,16602,864,46152,24888
6.36,16608,858,46160,24880
6.37,16620,846,46192,24848
6.38,16622,844,46224,24816
6.39,16624,842,46232,24808
6.4,16624,842,46232,24808
6.41,16628,838,46248,24792
6.42,16632,834,46264,24776
6.43,16632,834,46272,24768
6.44,16642,824,46312,24728
6.45,16644,822,46320,24720
6.46,16646,820,46344,24696
6.47,16646,820,46352,24688
6.48,16648,818,46384,24656
6.49,16650,816,46424,24616
6.5,16650,816,46448,24592
6.51,16654,812,46448,24592
6.52,16664,802,46496,24544
6.53,16670,796,46504,24536
6.54,16678,788,46520,24520
6.55,16680,786,46536,24504
6.56,16680,786,46536,24504
6.57,16680,786,46576,24464
6.58,16686,780,46584,24456
6.59,16688,778,46600,24440
6.6,16690,776,46600,24440
6.61,16698,768,46656,24384
6.62,16708,758,46712,24328
6.63,16712,754,46712,24328
6.64,16714,752,46728,24312
6.65,16718,748,46736,24304
6.66,16718,748,46760,24280
6.67,16726,740,46800,24240
6.68,16726,740,46800,24240
6.69,16732,734,46824,24216
6.7,16746,720,46856,24184
6.71,16746,720,46880,24160
6.72,16748,718,46888,24152
6.73,16750,716,46904,24136
6.74,16754,712,46920,24120
6.75,16758,708,46960,24080
6.76,16760,706,46976,24064
6.77,16766,700,46984,24056
6.78,16774,692,47024,24016
6.79,16778,688,47064,23976
6.8,16778,688,47088,23952
6.81,16788,678,47128,23912
6.82,16794,672,47152,23888
6.83,16796,670,47168,23872
6.84,16796,670,47192,23848
6.85,16800,666,47216,23824
6.86,16802,664,47240,23800
6.87,16806,660,47272,23768
6.88,16808,658,47280,23760
6.89,16810,656,47304,23736
6.9,16816,650,47320,23720
6.91,16818,648,47328,23712
6.92,16818,648,47328,23712
6.93,16818,648,47336,23704
6.94,16818,648,47368,23672
6.95,16820,646,47376,23664
6.96,16820,646,47400,23640
6.97,16820,646,47440,23600
6.98,16826,640,47464,23576
